directory,file_name,variable_name,variable_type,description
data/,hydrogeologicalghana.rda,date,"c(""POSIXct"", ""POSIXt"")",Date of the measurement.
data/,hydrogeologicalghana.rda,region,character,Name of the region where the borehole was drilled.
data/,hydrogeologicalghana.rda,community,character,Name of the community where the borehole was drilled.
data/,hydrogeologicalghana.rda,depth,numeric,"Vertical distance from the surface of the ground to the bottom of the borehole, measured in meters (m). The depth of a borehole determines how deep the drilling process goes to reach the desired aquifer or geological layer."
data/,hydrogeologicalghana.rda,static_water_level,numeric,Llevel of water in the borehole when no pumping is taking place. It is measured from the ground surface down to the water surface inside the borehole. This measurement is crucial for determining the natural water table level and the initial conditions of the aquifer.
data/,hydrogeologicalghana.rda,pumping_rate,numeric,"Volume of water being extracted from the borehole per unit of time, typically measured in liters per minute (l/min). This rate is essential for determining the efficiency and capacity of the borehole, as well as for designing the pump system."
data/,hydrogeologicalghana.rda,drawdown,numeric,Difference between the static water level and the water level in the borehole after pumping has started. It indicates how much the water level has dropped due to pumping and is measured in meters (m). Drawdown helps in understanding the impact of pumping on the aquifer and is essential for calculating the sustainable yield of the borehole.
data/,hydrogeologicalghana.rda,specific_capacity,numeric,"Measure of the productivity of a borehole, defined as the pumping rate per unit drawdown. It is expressed in terms of volume per unit time per unit drawdown, commonly m_/day per meter of drawdown, which can be simplified to m_/day. This parameter helps in assessing the efficiency of the borehole and the aquifer's ability to transmit water to the borehole."
data/,hydrogeologicalghana.rda,transmissivity,numeric,Measure of how much water can be transmitted horizontally through the aquifer material over a unit width and is measured in cubic meters per day (m_/day). It is a product of the hydraulic conductivity of the aquifer and the saturated thickness of the aquifer. High transmissivity indicates a highly productive aquifer.
data/,hydrogeologicalghana.rda,aquifer_material,character,"Type of geological materials (such as sand, gravel, limestone, or sandstone) that make up the aquifer from which the borehole extracts water. The characteristics of these materials, including their porosity and permeability, influence the aquifer's ability to store and transmit water. Understanding the aquifer material is critical for assessing the water quality and the potential yield of the borehole."
